Time,Percent,Speed,Error,Target
52559,-7.429130009775172,-9.0,-136.0,-1068.75
52578,7.820136852394917,49.0,136.0,1096.875
52580,-7.820136852394917,-26.0,-136.0,-1096.875
52598,8.308895405669599,73.0,136.0,1096.875
52599,-8.308895405669599,-45.0,-136.0,-1096.875
52618,8.308895405669599,73.0,136.0,1096.875
52619,-8.308895405669599,-68.0,-136.0,-1096.875
52638,8.308895405669599,117.0,136.0,1096.875
52640,-8.308895405669599,-96.0,-136.0,-1096.875
52658,8.308895405669599,134.0,186.0,1096.875
52659,-8.308895405669599,-116.0,-187.0,-1096.875
52677,8.308895405669599,145.0,186.0,1096.875
52678,-8.308895405669599,-129.0,-187.0,-1096.875
52698,8.308895405669599,153.0,186.0,1096.875
52702,-8.308895405669599,-140.0,-187.0,-1096.875
52718,8.308895405669599,153.0,186.0,1096.875
52719,-8.308895405669599,-150.0,-187.0,-1096.875
52738,8.308895405669599,163.0,186.0,1096.875
52739,-8.308895405669599,-153.0,-187.0,-1096.875
52758,8.308895405669599,163.0,186.0,1096.875
52760,-8.308895405669599,-156.0,-187.0,-1096.875
52778,8.308895405669599,167.0,186.0,1096.875
52779,-8.308895405669599,-158.0,-187.0,-1096.875
52799,8.308895405669599,168.0,135.0,1096.875
52800,-8.308895405669599,-159.0,-187.0,-1096.875
52817,8.308895405669599,166.0,135.0,1096.875
52819,-8.308895405669599,-157.0,-146.0,-1096.875
52838,8.308895405669599,165.0,135.0,1096.875
52839,-8.308895405669599,-157.0,-146.0,-1096.875
52858,8.308895405669599,164.0,135.0,1096.875
52859,-8.308895405669599,-157.0,-146.0,-1096.875
52878,8.308895405669599,162.0,135.0,1096.875
52880,-8.308895405669599,-156.0,-146.0,-1096.875
52898,8.308895405669599,161.0,135.0,1096.875
52903,-8.308895405669599,-155.0,-146.0,-1096.875
52919,8.308895405669599,160.0,135.0,1096.875
52921,-8.308895405669599,-155.0,-146.0,-1096.875
